"castid","repoid","target","source","qltag","link","value"
"6799412",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/spi/src/main/java/org/restcomm/media/spi/dtmf/DtmfTonesData.java?#L62","#Literal:IntToByteArray,@gen"
"3088910",3200,"String","Object","InstanceOfGuarded","https://lgtm.com/projects/g/SonarSource/sonarqube/snapshot/dist-1506176517156-1524814812150/files/sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/Rules.java?#L9675","#GuardByInstanceOf:single,@gen"
"7411247",6817,"String","Object","RefCast","https://lgtm.com/projects/g/apache/phoenix/snapshot/dist-7900376-1524814812150/files/phoenix-core/src/main/java/org/apache/phoenix/coprocessor/generated/PFunctionProtos.java?#L1137","#GuardByInstanceOf:single,@gen"
"7154488",6776,"T","Object","RefCast","https://lgtm.com/projects/g/apache/karaf/snapshot/dist-13960098-1524814812150/files/specs/java.xml.ws/src/main/java/javax/xml/soap/$FactoryFinder.java?#L76","#NewDynamicInstance,@src"
"340200",317,"Class<>","Object","RemoveTypeParameter","https://lgtm.com/projects/g/googleads/googleads-java-lib/snapshot/dist-44920018-1524814812150/files/modules/dfp_axis/src/main/java/com/google/api/ads/dfp/axis/v201802/NetworkServiceSoapBindingStub.java?#L592","#UseRawType,@src"
"1988717",1738,"ObjectProperty<Effect>","Property<>","Cast","https://lgtm.com/projects/g/JFXtras/jfxtras-labs/snapshot/dist-1793850269-1524814812150/files/src/main/java/jfxtras/labs/scene/control/gauge/ContentBuilder.java?#L355","#GuardByTypeTag,@src"
"2776450",2702,"byte","int","SearchOrFilterByType","https://lgtm.com/projects/g/WhisperSystems/libsignal-service-java/snapshot/dist-2038500927-1524814812150/files/java/src/main/java/org/whispersystems/signalservice/internal/push/PushTransportDetails.java?#L29","#Literal:IntToByte,@src"
"4797544",4664,"KItem","Term","SearchOrFilterByType","https://lgtm.com/projects/g/kframework/k/snapshot/dist-41930077-1524814812150/files/java-backend/src/main/java/org/kframework/backend/java/kil/BuiltinSet.java?#L204","#GuardByInstanceOf:single,@src"
"5369114",5272,"ClassLoader","Object","Redundant","https://lgtm.com/projects/g/robovm/robovm/snapshot/dist-39650108-1524814812150/files/rt/libcore/luni/src/main/java/org/xml/sax/helpers/NewInstance.java?#L70","#ReflectiveAccessibility,@src"
"2635695",2463,"TypeNode","TypeNode","ClassFamily","https://lgtm.com/projects/g/gravel-st/gravel/snapshot/dist-65220017-1524814812150/files/src/main/java/st/gravel/support/compiler/ast/BlockNode.java?#L296","#Family,@src"
"7535572",6822,"byte","int","PrimCast","https://lgtm.com/projects/g/apache/cloudstack/snapshot/dist-14050053-1524814812150/files/services/console-proxy-rdp/rdpconsole/src/main/java/rdpclient/rdp/ClientConfirmActivePDU.java?#L535","#Literal:IntToByteArray,@gen"
"2784057",2706,"Predicate_Type","TOP_Type","Cast","https://lgtm.com/projects/g/ClearTK/cleartk/snapshot/dist-1790746773-1524814812150/files/cleartk-type-system/target/generated-sources/jcasgen/org/cleartk/srl/type/Predicate.java?#L121","#GuardByTypeTag,@src"
"2354935",2229,"ExpressionTree","Tree","InstanceOfGuarded","https://lgtm.com/projects/g/google/error-prone/snapshot/dist-27820007-1524814812150/files/core/src/main/java/com/google/errorprone/refaster/PlaceholderUnificationVisitor.java?#L189","#GuardByInstanceOf:typecase,@src"
"8233875",6891,"String","String","RefCast","https://lgtm.com/projects/g/apache/manifoldcf/snapshot/dist-12140003-1524814812150/files/connectors/webcrawler/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/webcrawler/FormParseState.java?#L67","#LookupById,@src"
"6573285",6481,"byte","int","PrimCast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L5984","#Literal:IntToByteArray,@gen"
"4950158",4917,"Number","Object","RefCast","https://lgtm.com/projects/g/druid-io/druid/snapshot/dist-44060034-1524814812150/files/processing/src/main/java/io/druid/query/aggregation/post/DoubleLeastPostAggregator.java?#L86","#KnownReturnType,@src"
"3317946",3525,"int","byte","Cast","https://lgtm.com/projects/g/alibaba/jstorm/snapshot/dist-10150055-1524814812150/files/jstorm-core/src/main/java/com/alibaba/jstorm/metric/Bytes.java?#L815","#Numeric,@src"
"7707531",6842,"STLineEndLength","TypeStoreUser","Cast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/drawingml/x2006/main/impl/CTLineEndPropertiesImpl.java?#L286","#LookupById,@gen"
"5451919",5294,"EList<UserRelated>","Object","RefCast","https://lgtm.com/projects/g/opensourceBIM/BIMserver/snapshot/dist-44770082-1524814812150/files/PluginBase/generated/org/bimserver/models/store/impl/UserImpl.java?#L408","#LookupById,@gen"
"7921216",6852,"byte","int","PrimCast","https://lgtm.com/projects/g/apache/tika/snapshot/dist-12170063-1524814812150/files/tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetRecog_sbcs.java?#L599","#Literal:IntToByteArray,@gen"
"6541906",6481,"byte","int","Cast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/codecs/g711/src/main/java/org/restcomm/media/codec/g711/alaw/EncoderData.java?#L3831","#Literal:IntToByteArray,@gen"
"7723255",6842,"CTVstream","XmlObject","RefCast","https://lgtm.com/projects/g/apache/poi/snapshot/dist-1790760597-1524814812150/files/build/xmlbean-sources/org/openxmlformats/schemas/officeDocument/x2006/docPropsVTypes/CTVstream.java?#L79","#Deserialization,@gen"
"2700202",2601,"byte","int","Cast","https://lgtm.com/projects/g/igniterealtime/Openfire/snapshot/dist-1894400539-1524814812150/files/src/java/org/jivesoftware/util/Base64.java?#L833","#Numeric,@src"
"3840565",3647,"UDPNIOConnection","Connection<>","ClassFamily","https://lgtm.com/projects/g/GrizzlyNIO/grizzly-mirror/snapshot/dist-50010069-1524814812150/files/modules/bundles/websockets/src/main/java/org/glassfish/grizzly/nio/transport/UDPNIOConnectorHandler.java?#L294","?BrokenLink"
"1192533",1161,"Symbol","Object","Cast","https://lgtm.com/projects/g/eclipse/pdt/snapshot/dist-19313119-1524814812150/files/plugins/org.eclipse.php.core/src/org/eclipse/php/internal/core/compiler/ast/parser/php56/CompilerAstParser.java?#L5974","#UseRawType,@gen"
"872361",994,"String","Object","Cast","https://lgtm.com/projects/g/SalesforceEng/Argus/snapshot/dist-14030004-1524814812150/files/ArgusCore/src/main/java/com/salesforce/dva/argus/service/batch/DefaultBatchService.java?#L234","#LookupById,@src"
"3417616",3540,"JndiNameType","TypeStoreUser","Redundant","https://lgtm.com/projects/g/SmartBear/soapui/snapshot/dist-1793321538-1524814812150/files/soapui/target/generated-sources/xmlbeans/com/sun/java/xml/ns/j2Ee/impl/ServiceRefTypeImpl.java?#L524","#LookupById,@gen"
"5800289",5618,"PropertyKey","RelationType","CovariantReturn","https://lgtm.com/projects/g/thinkaurelius/titan/snapshot/dist-21060104-1524814812150/files/titan-core/src/main/java/com/thinkaurelius/titan/core/TitanVertexProperty.java?#L31","#Family,@src"
"2463556",2350,"Method","AccessibleObject","Cast","https://lgtm.com/projects/g/perfectsense/dari/snapshot/dist-17080040-1524814812150/files/util/src/main/java/com/psddev/dari/util/sa/JvmRunner.java?#L676","#VariableSupertype,@src"
"153181",195,"DTMException","Throwable","SearchOrFilterByType","https://lgtm.com/projects/g/bugvm/bugvm/snapshot/dist-1793551010-1524814812150/files/Core/rt/src/main/java/org/apache/xml/dtm/DTMException.java?#L344","#GuardByInstanceOf:single,@src"
"5813189",5631,"int","double","PrimCast","https://lgtm.com/projects/g/lessthanoptimal/BoofCV/snapshot/dist-1790760503-1524814812150/files/integration/boofcv-swing/src/main/java/boofcv/gui/learning/ConfusionMatrixPanel.java?#L183","#Numeric,@src"
"8563123",7088,"LogicalChannelBindingTypePassAlongWStream","LogicalChannelBindingType","Cast","https://lgtm.com/projects/g/pulsarIO/realtime-analytics/snapshot/dist-30370380-1524814812150/files//semmle_data/maven_repo/com/espertech/esper/5.2.0/esper-5.2.0-sources.jar/com/espertech/esper/dataflow/core/RealizationFactoryInterface.java?#L137","?BrokenLink"
"7019996",6761,"AbstractEncodedMessage","Object","GetClassGuarded","https://lgtm.com/projects/g/redsolution/otr4j/snapshot/dist-1797610492-1524814812150/files/src/net/java/otr4j/io/messages/AbstractEncodedMessage.java?#L40","#Equals:GetClass,@src"
"7957569",6857,"int","long","Cast","https://lgtm.com/projects/g/apache/hadoop/snapshot/dist-956730001-1524814812150/files/hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataXceiver.java?#L1101","#Numeric,@src"
"6793455",6481,"byte","int","Cast","https://lgtm.com/projects/g/RestComm/mediaserver/snapshot/dist-1796501640-1524814812150/files/spi/src/main/java/org/restcomm/media/spi/dtmf/DtmfTonesData.java?#L60","#Literal:IntToByteArray,@gen"
"1678986",1467,"Entry<?,?>","Object","ArgumentCheck","https://lgtm.com/projects/g/jersey/jersey/snapshot/dist-31190036-1524814812150/files/bundles/jaxrs-ri/target/unpacked-src/main/java/org/glassfish/jersey/internal/guava/MapMakerInternalMap.java?#L3190","#Equals:InstanceOf,@src"
"6182513",6055,"SimpleValue","Value","ClassFamily","https://lgtm.com/projects/g/liquibase/liquibase-hibernate/snapshot/dist-44890016-1524814812150/files/src/main/java/liquibase/ext/hibernate/snapshot/ColumnSnapshotGenerator.java?#L159","#GuardByTypeTag,@src"
"4606665",4429,"byte","int","Cast","https://lgtm.com/projects/g/bcgit/bc-java/snapshot/dist-20740003-1524814812150/files/core/src/main/java/org/bouncycastle/crypto/digests/DSTU7564Digest.java?#L449","#Literal:IntToByteArray,@gen"
"2159550",1959,"Boolean","Object","LookupById","https://lgtm.com/projects/g/pac4j/pac4j/snapshot/dist-4840350-1524814812150/files/pac4j-oauth/src/main/java/org/pac4j/oauth/profile/bitbucket/BitbucketProfile.java?#L34","#LookupById,@src"
"8137337",6875,"TraceScopeHolder<TraceScope>","Object","Cast","https://lgtm.com/projects/g/apache/cxf/snapshot/dist-2126650689-1524814812150/files/integration/tracing/tracing-htrace/src/main/java/org/apache/cxf/tracing/htrace/HTraceClientStopInterceptor.java?#L39","#LookupById,@src"
"5025388",4936,"GeoPoint","GeoPointND","RefCast","https://lgtm.com/projects/g/geogebra/geogebra/snapshot/dist-1800140137-1524814812150/files/common/src/main/java/org/geogebra/common/kernel/algos/AlgoParabolaPointLine.java?#L77","#Family,@src"
"1957233",1716,"Map<String,Object>","Object","RefCast","https://lgtm.com/projects/g/elastic/elasticsearch/snapshot/dist-1916470085-1524814812150/files/server/src/test/java/org/elasticsearch/common/xcontent/support/XContentMapValuesTests.java?#L228","#LookupById,@test"
"8465458",6992,"FEEL_1_1Visitor<? extends T>","ParseTreeVisitor<? extends T>","ArgumentCheck","https://lgtm.com/projects/g/droolsjbpm/drools/snapshot/dist-12330021-1524814812150/files/kie-dmn/kie-dmn-feel/target/generated-sources/antlr4/org/kie/dmn/feel/parser/feel11/FEEL_1_1Parser.java?#L1894","#GuardByInstanceOf:single,@src"
"1782667",1588,"GlideOptions","RequestOptions","InstanceOfGuarded","https://lgtm.com/projects/g/duckduckgo/Android/snapshot/dist-2032670441-1524814812150/files/app/build/generated/source/kapt/release/com/duckduckgo/app/global/image/GlideRequest.java?#L401","#GuardByInstanceOf:single,@src"
"4552960",4340,"byte","int","PrimCast","https://lgtm.com/projects/g/katrielalex/stupid-copy-that-isnt-a-fork-of-libsignal-protocol-java/snapshot/dist-1505881366241-1524814812150/files/tests/src/test/java/org/whispersystems/libsignal/ecc/Curve25519Test.java?#L98","#Literal:IntToByteArray,@gen"
"1337759",1219,"long[]","Object","ArgumentCheck","https://lgtm.com/projects/g/alphagov/pp-db-collector-template/snapshot/dist-2095580818-1524814812150/files//.gradle/caches/modules-2/files-2.1/org.mockito/mockito-core/1.9.5/c3264abeea62c4d2f367e21484fbb40c7e256393/mockito-core-1.9.5.jar/org/mockito/asm/util/TraceAnnotationVisitor.java?#L125","?BrokenLink"
"8331758",6952,"MetaData[]","<nulltype>","Cast","https://lgtm.com/projects/g/floodlight/floodlight/snapshot/dist-17090046-1524814812150/files/src/test/java/net/floodlightcontroller/debugcounter/DebugCounterServiceTest.java?#L133","#SelectOverload:Null,@src"
